smiles,ie,batch,time
CN1C(=N)NCC1=O,13.75744456128075,0,8.655897840857506
OC(C#C)C1=CC=CO1,13.51652246068602,0,8.697152278386056
CC1OC1C(=O)C=O,14.320936456054028,0,8.834287342615426
O=C1CC(=O)N2CC12,14.361012674639937,0,8.834577715955675
N=C1OC2C1OC21CC1,13.548667538354039,0,8.864448241889477
CC(O)C12CC3C(C1)N23,13.44714461522392,0,8.912725176662207
CC1C(CN2CC2)N1C,12.63472334960045,0,9.012300969101489
CC1CC(=O)C(=N)N1C,13.026476752596864,0,9.120575336739421
COC1CC1C(=O)C=O,13.68048190717343,1,16.13318217266351
O=CC(=O)C1NC1C#N,14.245894324824803,1,16.27134566102177
CN(CC(=O)C=O)C=O,13.761416357651115,1,16.388568138703704
OC1CNC1C(=O)C=O,13.495507064169146,1,16.673218657262623
O=C1C2NC1C1OC21,14.489921081090529,2,19.026120635680854
NC1C(CC#N)OC1=O,14.334875886244845,2,19.182355222292244
CNC1C2OC2C1C#N,13.487556402393352,2,19.24318131711334
CC(CC=O)(C=O)C#N,14.357947289104459,2,19.682036003097892
FC1=NC(=O)NC=N1,15.004052041057662,3,21.788957942277193
OC1=NC(F)=CC(=O)O1,15.331474757769456,3,21.818907366134226
O=C1NC2=C(O1)N=CO2,14.45435372136717,3,21.862771519459784
CCC1(C)C2NC2C1=O,13.371374803516233,3,22.28798419702798
FC1=CC(=O)OC(F)=N1,16.0610459970826,4,24.384467594325542
OC1=NC(=O)C=C(F)O1,14.962592512504216,4,24.457957426086068
CC1=NC(F)=CC(=O)O1,15.026681188428938,4,24.47066442295909
NC1=NC(F)=CC(=O)O1,14.569559101082632,4,24.60533810965717
